WKT	pointid	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype
POINT (5.761816 50.762334)	W(_1002.1.5	Weidestreek (Luik)	HOL binnen plan	2	eerste set	0.491942158508562	track
POINT (5.749303 50.762881)	W(_1049.12	Weidestreek (Luik)	HOL buiten plan	34	eerste set	0.386585110640614	track
POINT (5.754907 50.764238)	W(_1063.3	Weidestreek (Luik)	HOL buiten plan	51	eerste set	0.293193613209246	track
POINT (5.851115 50.734465)	W(_1104.1	Weidestreek (Luik)	HOL binnen plan	1	eerste set	0.423234312291771	track
POINT (5.868566 50.724362)	W(_113.5	Weidestreek (Luik)	HOL binnen plan	49	eerste set	0.385456285127797	tertiary
POINT (5.825463 50.754464)	W(_1157.2	Weidestreek (Luik)	HOL binnen plan	50	eerste set	0.517980400338686	unclassified
POINT (5.715169 50.753433)	W(_1171.1.1	Weidestreek (Luik)	HOL buiten plan	22	eerste set	0.435425627830748	track
POINT (5.756894 50.769211)	W(_1206	Weidestreek (Luik)	HOL buiten plan	30	eerste set	0.390799392555401	track
POINT (5.746506 50.756617)	W(_135.6	Weidestreek (Luik)	HOL buiten plan	21	eerste set	0.447917963506624	track
POINT (5.720104 50.758516)	W(_140.1	Weidestreek (Luik)	HOL buiten plan	37	eerste set	0.465903916678265	track
POINT (5.753387 50.755785)	W(_143.7	Weidestreek (Luik)	HOL buiten plan	63	eerste set	0.366266251408926	track
POINT (5.78983 50.747702)	W(_163.6	Weidestreek (Luik)	HOL binnen plan	20	eerste set	0.378006036742852	track
POINT (5.766198 50.754894)	W(_201.5	Weidestreek (Luik)	HOL binnen plan	4	eerste set	0.297859425329148	track
POINT (5.859769 50.755773)	W(_214.14	Weidestreek (Luik)	HOL binnen plan	53	eerste set	0.536568393783995	track
POINT (5.867129 50.74841)	W(_215.9	Weidestreek (Luik)	OL binnen plan	17	eerste set	0.503456178739622	track
POINT (5.848101 50.73752)	W(_270	Weidestreek (Luik)	HOL binnen plan	38	eerste set	0.351290499604928	track
POINT (5.863549 50.736036)	W(_272.2	Weidestreek (Luik)	HOL binnen plan	65	eerste set	0.27739005602909	unclassified
POINT (5.856971 50.722257)	W(_295	Weidestreek (Luik)	HOL binnen plan	88	eerste set	0.287248465508195	unclassified
